Session ID,Program,Session Date,Modality,Topic,Attendees (Headcount),Duration (min),Facilitator Notes
SESS0001,Career Readiness,2023-01-05,In-person,Mentorship Session,35,60,Students asked for more hands-on activities.
SESS0002,Career Readiness,2023-01-25,Hybrid,Goal Setting,29,90,Students asked for more hands-on activities.
SESS0003,Academic Success,2023-01-20,Virtual,Networking Skills,13,75,
SESS0004,Academic Success,2023-01-25,Hybrid,Networking Skills,31,120,"Strong engagement, Q&A ran long."
SESS0005,Leadership Development,2023-01-12,Hybrid,Financial Literacy,22,90,
SESS0006,Leadership Development,2023-01-26,Virtual,Financial Literacy,25,75,Lower attendance than expected — schedule conflict noted.
SESS0007,Leadership Development,2023-01-26,Virtual,Financial Literacy,19,120,"Great energy, peer connections formed."
SESS0008,Career Readiness,2023-02-25,Virtual,Study Strategies,13,75,Students asked for more hands-on activities.
SESS0009,Career Readiness,2023-02-05,Virtual,Goal Setting,28,120,Lower attendance than expected — schedule conflict noted.
SESS0010,Career Readiness,2023-02-18,In-person,Resume Workshop,17,60,Several students requested follow-up resources.
SESS0011,Academic Success,2023-02-15,Hybrid,Networking Skills,34,120,"Strong engagement, Q&A ran long."
SESS0012,Academic Success,2023-02-08,Virtual,Career Panels,8,120,"Strong engagement, Q&A ran long."
SESS0013,Academic Success,2023-02-13,Hybrid,Career Panels,15,120,"Strong engagement, Q&A ran long."
SESS0014,Leadership Development,2023-02-08,In-person,Career Panels,11,90,Several students requested follow-up resources.
SESS0015,Leadership Development,2023-02-05,In-person,Mentorship Session,34,120,
SESS0016,Leadership Development,2023-02-27,In-person,Leadership Lab,22,60,"Strong engagement, Q&A ran long."
SESS0017,Career Readiness,2023-03-09,In-person,Networking Skills,25,120,"Strong engagement, Q&A ran long."
SESS0018,Career Readiness,2023-03-25,Virtual,Financial Literacy,17,60,"Strong engagement, Q&A ran long."
SESS0019,Academic Success,2023-03-14,Hybrid,Leadership Lab,10,60,"Great energy, peer connections formed."
SESS0020,Academic Success,2023-03-20,Hybrid,Goal Setting,28,75,
SESS0021,Leadership Development,2023-03-10,Virtual,Goal Setting,27,90,Several students requested follow-up resources.
SESS0022,Leadership Development,2023-03-19,Virtual,Networking Skills,29,60,Students asked for more hands-on activities.
SESS0023,Career Readiness,2023-04-03,Hybrid,Goal Setting,20,120,"Strong engagement, Q&A ran long."
SESS0024,Career Readiness,2023-04-21,Virtual,Career Panels,16,60,Lower attendance than expected — schedule conflict noted.
SESS0025,Career Readiness,2023-04-26,In-person,Career Panels,15,60,Students asked for more hands-on activities.
SESS0026,Academic Success,2023-04-25,Virtual,Networking Skills,9,90,Students asked for more hands-on activities.
SESS0027,Academic Success,2023-04-11,Hybrid,Networking Skills,34,120,
SESS0028,Academic Success,2023-04-16,Hybrid,Networking Skills,33,75,"Strong engagement, Q&A ran long."
SESS0029,Academic Success,2023-04-23,Virtual,Goal Setting,17,75,"Strong engagement, Q&A ran long."
SESS0030,Leadership Development,2023-04-02,Virtual,Mentorship Session,24,120,Students asked for more hands-on activities.
SESS0031,Leadership Development,2023-04-16,Virtual,Goal Setting,32,75,Lower attendance than expected — schedule conflict noted.
