Response ID,Student ID,Survey Type,Assessment Tool,Response Date,Composite Score,Q1 - Self-efficacy,Q2 - Belonging,Q3 - Career clarity,Open-ended response
RESP0001,STU0001,Pre,Leadership Development Survey,2023-09-08,2.0,2,2,2,I feel more confident about my path.
RESP0002,STU0001,Post,Leadership Development Survey,2024-05-15,2.4,3,2,3,I feel more confident about my path.
RESP0003,STU0002,Pre,Career Readiness Survey,2024-08-07,2.7,2,3,3,
RESP0004,STU0002,Post,Career Readiness Survey,2024-05-15,2.9,3,2,3,The workshops helped me understand my options.
RESP0005,STU0003,Pre,Academic Success Survey,2024-09-26,3.1,3,4,3,Would love more one-on-one support.
RESP0006,STU0003,Post,Academic Success Survey,2024-05-15,3.6,4,4,3,I appreciated the peer connections.
RESP0007,STU0004,Pre,Career Readiness Survey,2024-09-04,2.4,3,3,2,Very helpful overall.
RESP0008,STU0004,Post,Career Readiness Survey,2024-05-15,3.2,3,3,4,I feel more confident about my path.
RESP0009,STU0005,Pre,Leadership Development Survey,2024-09-18,3.5,4,3,4,The workshops helped me understand my options.
RESP0010,STU0005,Post,Leadership Development Survey,2024-05-15,4.3,5,4,5,Would love more one-on-one support.
RESP0011,STU0006,Pre,Career Readiness Survey,2024-08-02,2.2,2,2,3,I appreciated the peer connections.
RESP0012,STU0006,Post,Career Readiness Survey,2024-09-21,2.2,2,2,2,I appreciated the peer connections.
RESP0013,STU0007,Pre,Academic Success Survey,2024-09-06,2.4,2,3,2,Would love more one-on-one support.
RESP0014,STU0007,Post,Academic Success Survey,2024-05-15,3.7,4,3,4,I appreciated the peer connections.
RESP0015,STU0008,Pre,Leadership Development Survey,2023-08-06,2.4,2,2,2,Would love more one-on-one support.
RESP0016,STU0008,Post,Leadership Development Survey,2024-02-15,2.9,3,2,3,I appreciated the peer connections.
RESP0017,STU0009,Pre,Career Readiness Survey,2024-08-26,2.5,3,3,2,
RESP0018,STU0009,Post,Career Readiness Survey,2024-05-15,2.8,3,3,3,I feel more confident about my path.
RESP0019,STU0010,Pre,Leadership Development Survey,2024-09-13,2.6,3,2,3,Would love more one-on-one support.
RESP0020,STU0010,Post,Leadership Development Survey,2024-05-15,3.2,3,3,3,The workshops helped me understand my options.
RESP0021,STU0011,Pre,Academic Success Survey,2024-09-12,3.5,3,3,3,Very helpful overall.
RESP0022,STU0011,Post,Academic Success Survey,2025-02-15,3.4,3,4,4,I feel more confident about my path.
RESP0023,STU0012,Pre,Leadership Development Survey,2023-08-26,2.5,3,2,2,
RESP0024,STU0012,Post,Leadership Development Survey,2024-05-15,2.8,3,3,3,I appreciated the peer connections.
RESP0025,STU0013,Pre,Academic Success Survey,2024-08-22,2.0,2,2,2,I appreciated the peer connections.
RESP0026,STU0013,Post,Academic Success Survey,2024-11-28,2.4,2,2,2,
RESP0027,STU0014,Pre,Career Readiness Survey,2024-09-01,3.3,4,3,4,Would love more one-on-one support.
RESP0028,STU0014,Post,Career Readiness Survey,2025-05-17,3.9,4,4,4,The workshops helped me understand my options.
RESP0029,STU0015,Pre,Leadership Development Survey,2024-08-05,3.1,3,3,3,Very helpful overall.
RESP0030,STU0016,Pre,Career Readiness Survey,2024-08-12,2.2,2,2,2,I feel more confident about my path.
RESP0031,STU0016,Post,Career Readiness Survey,2025-05-03,2.8,3,3,3,Very helpful overall.
RESP0032,STU0017,Pre,Leadership Development Survey,2023-09-18,2.3,2,2,2,I feel more confident about my path.
RESP0033,STU0017,Post,Leadership Development Survey,2024-05-15,3.9,4,4,4,Very helpful overall.
RESP0034,STU0018,Pre,Academic Success Survey,2023-09-15,2.6,3,2,2,Would love more one-on-one support.
RESP0035,STU0018,Post,Academic Success Survey,2024-05-15,3.2,3,3,3,I appreciated the peer connections.
RESP0036,STU0019,Pre,Leadership Development Survey,2023-08-19,1.8,2,2,2,
RESP0037,STU0020,Pre,Career Readiness Survey,2023-08-09,2.6,2,3,3,Very helpful overall.
RESP0038,STU0020,Post,Career Readiness Survey,2024-05-15,3.7,4,4,3,Would love more one-on-one support.
RESP0039,STU0021,Pre,Academic Success Survey,2024-09-07,2.0,2,2,2,
RESP0040,STU0021,Post,Academic Success Survey,2024-05-15,2.9,3,3,3,Would love more one-on-one support.
RESP0041,STU0022,Pre,Leadership Development Survey,2024-08-02,3.0,3,3,3,I feel more confident about my path.
RESP0042,STU0022,Post,Leadership Development Survey,2024-05-15,4.5,5,5,5,
RESP0043,STU0023,Pre,Leadership Development Survey,2023-09-05,2.1,2,2,3,Would love more one-on-one support.
RESP0044,STU0023,Post,Leadership Development Survey,2024-05-15,3.0,3,3,3,I feel more confident about my path.
RESP0045,STU0024,Pre,Leadership Development Survey,2023-08-03,2.1,2,3,2,
RESP0046,STU0024,Post,Leadership Development Survey,2024-05-15,3.1,3,3,3,The workshops helped me understand my options.
RESP0047,STU0025,Pre,Academic Success Survey,2023-08-13,3.4,3,3,3,
RESP0048,STU0025,Post,Academic Success Survey,2024-05-15,4.9,5,4,5,Very helpful overall.
RESP0049,STU0026,Pre,Career Readiness Survey,2024-09-07,2.8,3,3,2,The workshops helped me understand my options.
RESP0050,STU0026,Post,Career Readiness Survey,2024-05-15,3.9,3,4,4,
RESP0051,STU0027,Pre,Academic Success Survey,2023-08-02,1.9,2,1,2,Would love more one-on-one support.
RESP0052,STU0028,Pre,Career Readiness Survey,2023-08-19,1.9,2,2,2,The workshops helped me understand my options.
RESP0053,STU0028,Post,Career Readiness Survey,2024-06-09,2.2,2,2,3,
RESP0054,STU0029,Pre,Academic Success Survey,2024-09-05,2.9,3,3,3,I appreciated the peer connections.
RESP0055,STU0029,Post,Academic Success Survey,2024-05-15,3.8,4,4,4,Very helpful overall.
RESP0056,STU0030,Pre,Leadership Development Survey,2024-08-03,2.2,2,2,2,Very helpful overall.
RESP0057,STU0030,Post,Leadership Development Survey,2024-11-30,2.2,3,2,2,Would love more one-on-one support.
RESP0058,STU0031,Pre,Career Readiness Survey,2024-09-27,3.0,3,3,3,Would love more one-on-one support.
RESP0059,STU0031,Post,Career Readiness Survey,2024-05-15,4.2,4,4,4,The workshops helped me understand my options.
RESP0060,STU0032,Pre,Career Readiness Survey,2024-09-04,3.1,3,3,3,The workshops helped me understand my options.
RESP0061,STU0032,Post,Career Readiness Survey,2024-05-15,3.5,4,3,4,Would love more one-on-one support.
RESP0062,STU0033,Pre,Career Readiness Survey,2023-09-17,2.2,3,2,3,Very helpful overall.
RESP0063,STU0033,Post,Career Readiness Survey,2024-05-15,3.9,4,4,4,I appreciated the peer connections.
RESP0064,STU0034,Pre,Career Readiness Survey,2024-08-11,2.9,3,3,3,I feel more confident about my path.
RESP0065,STU0034,Post,Career Readiness Survey,2024-05-15,3.5,4,4,3,Would love more one-on-one support.
RESP0066,STU0035,Pre,Career Readiness Survey,2024-08-03,3.3,3,3,4,The workshops helped me understand my options.
RESP0067,STU0035,Post,Career Readiness Survey,2024-12-05,3.5,4,4,3,The workshops helped me understand my options.
RESP0068,STU0036,Pre,Career Readiness Survey,2023-08-10,3.3,4,3,4,I feel more confident about my path.
RESP0069,STU0036,Post,Career Readiness Survey,2024-05-12,4.8,5,4,5,
RESP0070,STU0037,Pre,Academic Success Survey,2023-09-20,2.1,3,2,2,Very helpful overall.
RESP0071,STU0037,Post,Academic Success Survey,2024-05-15,3.8,4,4,4,I appreciated the peer connections.
RESP0072,STU0038,Pre,Career Readiness Survey,2024-09-26,3.2,3,3,3,I appreciated the peer connections.
RESP0073,STU0038,Post,Career Readiness Survey,2024-05-15,4.8,5,5,5,Would love more one-on-one support.
RESP0074,STU0039,Pre,Academic Success Survey,2023-08-28,2.2,2,3,2,I appreciated the peer connections.
RESP0075,STU0039,Post,Academic Success Survey,2024-05-15,3.7,4,4,4,Very helpful overall.
RESP0076,STU0040,Pre,Career Readiness Survey,2024-08-22,2.5,3,3,2,Very helpful overall.
RESP0077,STU0040,Post,Career Readiness Survey,2024-05-15,3.1,4,3,3,The workshops helped me understand my options.
RESP0078,STU0041,Pre,Academic Success Survey,2024-09-01,3.3,3,3,3,The workshops helped me understand my options.
RESP0079,STU0042,Pre,Academic Success Survey,2023-09-24,2.5,3,3,2,Would love more one-on-one support.
RESP0080,STU0042,Post,Academic Success Survey,2023-11-22,3.0,3,3,3,I appreciated the peer connections.
RESP0081,STU0043,Pre,Career Readiness Survey,2023-09-01,3.4,3,4,3,Very helpful overall.
RESP0082,STU0043,Post,Career Readiness Survey,2024-05-15,4.5,5,5,5,I feel more confident about my path.
RESP0083,STU0044,Pre,Leadership Development Survey,2024-09-20,2.9,3,3,3,Would love more one-on-one support.
RESP0084,STU0044,Post,Leadership Development Survey,2024-05-15,3.3,3,3,3,The workshops helped me understand my options.
RESP0085,STU0045,Pre,Academic Success Survey,2024-09-23,2.7,2,3,3,Very helpful overall.
