Student ID,Student Name,Cohort Year,Enrollment Status,Learning Pathway,Demographics,Race/Ethnicity,Start Date,Exit Date,Sessions Attended,Pre-Survey Score,Post-Survey Score,Score Change
STU0001,Student 001,2023,Active,Leadership Development,None indicated,Hispanic/Latino,2023-09-08,,4,2.0,2.4,0.4
STU0002,Student 002,2024,Active,Career Readiness,Pell-eligible,Unknown,2024-08-07,,4,2.7,2.9,0.2
STU0003,Student 003,2024,Active,Academic Success,Pell-eligible,White,2024-09-26,,1,3.1,3.6,0.5
STU0004,Student 004,2024,Active,Career Readiness,"First-gen, Pell-eligible",Multiracial,2024-09-04,,2,2.4,3.2,0.8
STU0005,Student 005,2024,Active,Leadership Development,None indicated,White,2024-09-18,,2,3.5,4.3,0.8
STU0006,Student 006,2024,Withdrawn,Career Readiness,Pell-eligible,Hispanic/Latino,2024-08-02,2024-09-21,11,2.2,2.2,0.0
STU0007,Student 007,2024,Active,Academic Success,First-gen,Multiracial,2024-09-06,,6,2.4,3.7,1.3
STU0008,Student 008,2023,Withdrawn,Leadership Development,None indicated,Black/African American,2023-08-06,2024-02-15,8,2.4,2.9,0.5
STU0009,Student 009,2024,Active,Career Readiness,None indicated,Unknown,2024-08-26,,6,2.5,2.8,0.3
STU0010,Student 010,2024,Active,Leadership Development,Pell-eligible,Unknown,2024-09-13,,11,2.6,3.2,0.6
STU0011,Student 011,2024,Withdrawn,Academic Success,First-gen,Hispanic/Latino,2024-09-12,2025-02-15,4,3.5,3.4,-0.1
STU0012,Student 012,2023,Active,Leadership Development,Pell-eligible,Multiracial,2023-08-26,,11,2.5,2.8,0.3
STU0013,Student 013,2024,Withdrawn,Academic Success,"First-gen, Pell-eligible",Hispanic/Latino,2024-08-22,2024-11-28,12,2.0,2.4,0.4
STU0014,Student 014,2024,Graduated,Career Readiness,First-gen,Unknown,2024-09-01,2025-05-17,12,3.3,3.9,0.6
